               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11651,            0.019393,                   0,             0.13225,                 0.1,            0.017285,           0.0018116,            0.097729,            0.016132,                   0,              0.0014,              0.0014,              0.0874
                   1,            0.097326,            0.021853,                   0,             0.23787,                0.12,            0.072576,           0.0087269,            0.079112,            0.016399,                   0,           0.0028713,           0.0028713,            0.073871
                   2,            0.086823,            0.024911,                   0,             0.17694,                0.16,            0.054538,             0.01341,            0.071566,             0.01516,                   0,           0.0043129,           0.0043129,            0.060313
                   3,            0.077492,            0.024427,                   0,             0.17956,                 0.4,             0.13482,            0.023911,             0.07145,            0.014412,                   0,           0.0057248,           0.0057248,            0.046725
                   4,             0.07406,            0.022816,                   0,              0.2897,                0.44,             0.21958,            0.049697,            0.069124,            0.015721,                   0,            0.007107,            0.007107,            0.033107
                   5,            0.070486,            0.020461,                   0,             0.30571,                 0.4,             0.16589,            0.037321,            0.081781,            0.011065,                   0,           0.0084594,           0.0084594,            0.019459
                   6,            0.076726,             0.01927,                   0,              0.2355,                0.36,             0.18196,            0.059106,             0.07212,            0.010982,                   0,            0.009406,            0.009406,            0.009406
                   7,            0.071323,            0.020037,                   0,             0.73313,             0.43957,             0.47347,              0.1653,            0.063661,            0.010818,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.064853,            0.021639,                   0,             0.21379,                0.44,              0.1539,            0.032019,            0.076091,            0.010386,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.063498,             0.01863,                   0,             0.41147,                0.56,              0.3966,             0.17542,            0.057255,            0.010052,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.058657,            0.019839,                   0,             0.37881,             0.63433,             0.39604,              0.1807,             0.05951,            0.011521,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.057076,            0.019119,                   0,             0.65827,                0.48,             0.48589,             0.16241,             0.05568,            0.010745,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.055872,            0.015264,                   0,             0.66572,                0.56,             0.54554,             0.14207,            0.056145,           0.0095349,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.053764,            0.018089,                   0,             0.65482,             0.75886,             0.66475,             0.31079,            0.052353,           0.0089917,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.048166,            0.015852,                   0,             0.80846,                0.68,             0.71269,             0.33998,            0.046644,           0.0089794,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.054753,            0.015384,                   0,             0.61412,                0.64,              0.5698,             0.21779,            0.059108,           0.0084481,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.051448,            0.015745,                   0,             0.88195,                0.72,             0.75973,             0.42266,            0.051898,           0.0081628,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.049029,            0.015502,                   0,             0.64905,                0.52,              0.5614,             0.17911,            0.060575,            0.008026,                   0,            0.008416,            0.008416,            0.008416
                  18,              0.0514,            0.015699,                   0,                   1,               0.679,             0.79266,             0.39596,            0.045845,           0.0076783,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.045927,            0.014413,                   0,             0.93728,                 0.6,             0.69882,              0.3369,            0.054177,           0.0078551,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.047917,            0.014253,                   0,               0.714,                 0.6,             0.58219,             0.28642,            0.052941,           0.0090519,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.050351,            0.013865,                   0,             0.82314,                0.56,             0.66235,             0.33016,            0.053702,           0.0083636,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.045921,            0.016005,                   0,             0.92717,                0.52,              0.6613,             0.36882,            0.047025,            0.010664,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.045976,            0.014325,                   0,              0.9522,                 0.8,              0.8087,             0.42527,            0.045789,           0.0078534,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.045914,            0.014348,                   0,             0.90444,                0.76,             0.79637,             0.31694,            0.050423,           0.0075556,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.045809,            0.014648,                   0,             0.95238,             0.79994,             0.81633,             0.36057,            0.044364,           0.0081592,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.045284,            0.015009,                   0,               0.909,             0.79919,              0.7937,             0.32997,            0.048461,           0.0080025,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.043273,            0.013947,                   0,             0.85654,                0.72,             0.79486,              0.4209,            0.042591,           0.0081971,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.039638,            0.013207,                   0,             0.99986,                0.76,             0.82692,             0.29859,            0.048306,           0.0076777,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.042916,            0.013749,                   0,                   1,             0.79961,             0.87354,             0.43265,            0.043383,           0.0067939,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.040132,            0.013026,                   0,             0.75987,                0.76,             0.77108,             0.25989,            0.052484,           0.0070866,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.040602,            0.014945,                   0,             0.90454,                0.76,             0.80393,             0.41319,            0.046462,           0.0075946,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.039067,            0.011986,                   0,             0.89193,                0.68,             0.74017,             0.42115,            0.046666,           0.0076631,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.039505,            0.013539,                   0,             0.71998,                0.72,             0.71599,             0.35288,            0.057274,           0.0074907,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.03805,            0.013341,                   0,             0.81815,             0.71986,             0.72179,             0.34896,             0.05144,           0.0074816,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.043583,            0.013471,                   0,             0.82608,             0.75999,             0.76124,             0.34602,            0.047035,           0.0079642,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.038014,              0.0143,                   0,             0.73878,                0.68,             0.73954,             0.24834,            0.054589,           0.0079491,                   0,            0.006535,            0.006535,            0.006535
